filename	label	off0	off1	span	code	semantic_rel	code_wp
S0004-06142005000700014-1	PROCEDIMIENTO	668	686	exploración física	5880005	EXACT	['315306007', '362958002']
S0004-06142005000700014-1	PROCEDIMIENTO	668	686	exploración física	315306007	PARENT	315306007
S0004-06142005000700014-1	PROCEDIMIENTO	668	686	exploración física	362958002	PARENT	362958002
S0004-06142005000700014-1	PROCEDIMIENTO	959	980	Auscultación cardíaca	449263002	EXACT	['284448002', '37931006']
S0004-06142005000700014-1	PROCEDIMIENTO	959	980	Auscultación cardíaca	284448002	PARENT	284448002
S0004-06142005000700014-1	PROCEDIMIENTO	959	980	Auscultación cardíaca	37931006	PARENT	37931006
S0004-06142005000700014-1	PROCEDIMIENTO	1023	1044	Auscultación pulmonar	449264008	EXACT	['118671005', '268925001', '37931006', '386043001']
S0004-06142005000700014-1	PROCEDIMIENTO	1023	1044	Auscultación pulmonar	118671005	PARENT	118671005
S0004-06142005000700014-1	PROCEDIMIENTO	1023	1044	Auscultación pulmonar	268925001	PARENT	268925001
S0004-06142005000700014-1	PROCEDIMIENTO	1023	1044	Auscultación pulmonar	37931006	PARENT	37931006
S0004-06142005000700014-1	PROCEDIMIENTO	1023	1044	Auscultación pulmonar	386043001	PARENT	386043001
S0004-06142005000700014-1	PROCEDIMIENTO	1143	1166	exploración neurológica	84728005	EXACT	['284366008', '399210005']
S0004-06142005000700014-1	PROCEDIMIENTO	1143	1166	exploración neurológica	284366008	PARENT	284366008
S0004-06142005000700014-1	PROCEDIMIENTO	1143	1166	exploración neurológica	399210005	PARENT	399210005
S0004-06142005000700014-1	PROCEDIMIENTO	1307	1328	exploración urológica	302778005	EXACT	['118677009', '276343000']
S0004-06142005000700014-1	PROCEDIMIENTO	1307	1328	exploración urológica	118677009	PARENT	118677009
S0004-06142005000700014-1	PROCEDIMIENTO	1307	1328	exploración urológica	276343000	PARENT	276343000
S0004-06142005000700014-1	PROCEDIMIENTO	1452	1461	palpación	113011001	EXACT	['315306007']
S0004-06142005000700014-1	PROCEDIMIENTO	1452	1461	palpación	315306007	PARENT	315306007
S0004-06142005000700014-1	PROCEDIMIENTO	1509	1525	transiluminación	103741002	EXACT	['32750006', '5880005']
S0004-06142005000700014-1	PROCEDIMIENTO	1509	1525	transiluminación	32750006	PARENT	32750006
S0004-06142005000700014-1	PROCEDIMIENTO	1509	1525	transiluminación	5880005	PARENT	5880005
S0004-06142005000700014-1	PROCEDIMIENTO	1592	1601	Hemograma	26604007	EXACT	['88308000']
S0004-06142005000700014-1	PROCEDIMIENTO	1592	1601	Hemograma	88308000	PARENT	88308000
S0004-06142005000700014-1	PROCEDIMIENTO	1702	1713	Coagulación	3116009	EXACT	['127791007']
S0004-06142005000700014-1	PROCEDIMIENTO	1702	1713	Coagulación	127791007	PARENT	127791007
S0004-06142005000700014-1	PROCEDIMIENTO	1738	1748	Bioquímica	412890008	EXACT	['430925007']
S0004-06142005000700014-1	PROCEDIMIENTO	1738	1748	Bioquímica	430925007	PARENT	430925007
S0004-06142005000700014-1	PROCEDIMIENTO	1924	1940	Orina: sedimento	27171005	EXACT	['127801007', '442564008']
S0004-06142005000700014-1	PROCEDIMIENTO	1924	1940	Orina: sedimento	127801007	PARENT	127801007
S0004-06142005000700014-1	PROCEDIMIENTO	1924	1940	Orina: sedimento	442564008	PARENT	442564008
S0004-06142005000700014-1	PROCEDIMIENTO	1981	1993	Hemocultivos	30088009	EXACT	['104190003', '396550006']
S0004-06142005000700014-1	PROCEDIMIENTO	1981	1993	Hemocultivos	104190003	PARENT	104190003
S0004-06142005000700014-1	PROCEDIMIENTO	1981	1993	Hemocultivos	396550006	PARENT	396550006
S0004-06142005000700014-1	PROCEDIMIENTO	2020	2056	Serologías específicas para Brucella	104279004	EXACT	['8992008']
S0004-06142005000700014-1	PROCEDIMIENTO	2020	2056	Serologías específicas para Brucella	8992008	PARENT	8992008
S0004-06142005000700014-1	PROCEDIMIENTO	2131	2148	pruebas de imagen	363679005	EXACT	['386053000']
S0004-06142005000700014-1	PROCEDIMIENTO	2131	2148	pruebas de imagen	386053000	PARENT	386053000
S0004-06142005000700014-1	PROCEDIMIENTO	2163	2171	Rx tórax	399208008	EXACT	['168537006', '413815006']
S0004-06142005000700014-1	PROCEDIMIENTO	2163	2171	Rx tórax	168537006	PARENT	168537006
S0004-06142005000700014-1	PROCEDIMIENTO	2163	2171	Rx tórax	413815006	PARENT	413815006
S0004-06142005000700014-1	PROCEDIMIENTO	2173	2192	Ecografía abdominal	45036003	EXACT	['108288002', '441987005']
S0004-06142005000700014-1	PROCEDIMIENTO	2173	2192	Ecografía abdominal	108288002	PARENT	108288002
S0004-06142005000700014-1	PROCEDIMIENTO	2173	2192	Ecografía abdominal	441987005	PARENT	441987005
S0004-06142005000700014-1	PROCEDIMIENTO	2194	2205	TAC craneal	169066007	EXACT	['118729003', '303653007', '427052007']
S0004-06142005000700014-1	PROCEDIMIENTO	2194	2205	TAC craneal	118729003	PARENT	118729003
S0004-06142005000700014-1	PROCEDIMIENTO	2194	2205	TAC craneal	303653007	PARENT	303653007
S0004-06142005000700014-1	PROCEDIMIENTO	2194	2205	TAC craneal	427052007	PARENT	427052007
S0004-06142005000700014-1	PROCEDIMIENTO	2207	2235	Ecocardiograma transtorácico	433236007	EXACT	['40701008']
S0004-06142005000700014-1	PROCEDIMIENTO	2207	2235	Ecocardiograma transtorácico	40701008	PARENT	40701008
S0004-06142005000700014-1	PROCEDIMIENTO	2287	2307	Ecografía testicular	303918003	NARROW	['118676000', '302801006']
S0004-06142005000700014-1	PROCEDIMIENTO	2287	2307	Ecografía testicular	118676000	PARENT	118676000
S0004-06142005000700014-1	PROCEDIMIENTO	2287	2307	Ecografía testicular	302801006	PARENT	302801006
S0004-06142005000700014-1	PROCEDIMIENTO	2614	2626	antitérmicos	709541000	EXACT	['18629005']
S0004-06142005000700014-1	PROCEDIMIENTO	2614	2626	antitérmicos	18629005	PARENT	18629005
S0004-06142005000700014-1	PROCEDIMIENTO	2628	2645	antiinflamatorios	330901000	EXACT	[]
S0004-06142005000700014-1	PROCEDIMIENTO	2628	2645	antiinflamatorios		PARENT	
S0004-06142005000700014-1	PROCEDIMIENTO	2647	2653	reposo	183051005	EXACT	['223415003']
S0004-06142005000700014-1	PROCEDIMIENTO	2647	2653	reposo	223415003	PARENT	223415003
S0004-06142005000700014-1	PROCEDIMIENTO	2656	2676	elevación testicular	103720008	NARROW	['19207007']
S0004-06142005000700014-1	PROCEDIMIENTO	2656	2676	elevación testicular	19207007	PARENT	19207007
S0004-06142005000700014-1	PROCEDIMIENTO	2687	2710	tratamiento antibiótico	281789004	EXACT	['416608005', '68322007']
S0004-06142005000700014-1	PROCEDIMIENTO	2687	2710	tratamiento antibiótico	416608005	PARENT	416608005
S0004-06142005000700014-1	PROCEDIMIENTO	2687	2710	tratamiento antibiótico	68322007	PARENT	68322007
S0004-06142005000700014-1	PROCEDIMIENTO	3001	3024	tratamiento antibiótico	281789004	EXACT	['416608005', '68322007']
S0004-06142005000700014-1	PROCEDIMIENTO	3001	3024	tratamiento antibiótico	416608005	PARENT	416608005
S0004-06142005000700014-1	PROCEDIMIENTO	3001	3024	tratamiento antibiótico	68322007	PARENT	68322007
S0004-06142005001000011-3	PROCEDIMIENTO	46	65	trasplante hepático	18027006	EXACT	['313039003', '4974007', '82316003']
S0004-06142005001000011-3	PROCEDIMIENTO	46	65	trasplante hepático	313039003	PARENT	313039003
S0004-06142005001000011-3	PROCEDIMIENTO	46	65	trasplante hepático	4974007	PARENT	4974007
S0004-06142005001000011-3	PROCEDIMIENTO	46	65	trasplante hepático	82316003	PARENT	82316003
S0004-06142005001000011-3	PROCEDIMIENTO	112	122	trasplante	77465005	EXACT	['782902008']
S0004-06142005001000011-3	PROCEDIMIENTO	112	122	trasplante	782902008	PARENT	782902008
S0004-06142005001000011-3	PROCEDIMIENTO	132	146	apendicectomía	80146002	EXACT	['27010001', '8613002']
S0004-06142005001000011-3	PROCEDIMIENTO	132	146	apendicectomía	27010001	PARENT	27010001
S0004-06142005001000011-3	PROCEDIMIENTO	132	146	apendicectomía	8613002	PARENT	8613002
S0004-06142005001000011-3	PROCEDIMIENTO	403	422	trasplante hepático	18027006	EXACT	['313039003', '4974007', '82316003']
S0004-06142005001000011-3	PROCEDIMIENTO	403	422	trasplante hepático	313039003	PARENT	313039003
S0004-06142005001000011-3	PROCEDIMIENTO	403	422	trasplante hepático	4974007	PARENT	4974007
S0004-06142005001000011-3	PROCEDIMIENTO	403	422	trasplante hepático	82316003	PARENT	82316003
S0004-06142005001000011-3	PROCEDIMIENTO	537	547	trasplante	77465005	EXACT	['782902008']
S0004-06142005001000011-3	PROCEDIMIENTO	537	547	trasplante	782902008	PARENT	782902008
S0004-06142005001000011-3	PROCEDIMIENTO	755	773	exploración física	5880005	EXACT	['315306007', '362958002']
S0004-06142005001000011-3	PROCEDIMIENTO	755	773	exploración física	315306007	PARENT	315306007
S0004-06142005001000011-3	PROCEDIMIENTO	755	773	exploración física	362958002	PARENT	362958002
S0004-06142005001000011-3	PROCEDIMIENTO	1135	1147	RMN cerebral	29567006	EXACT	['446138008']
S0004-06142005001000011-3	PROCEDIMIENTO	1135	1147	RMN cerebral	446138008	PARENT	446138008
S0004-06142005001000011-3	PROCEDIMIENTO	1435	1476	LCR: determinación sexológica para HTLV-I	104317009	NARROW	['122435008']
S0004-06142005001000011-3	PROCEDIMIENTO	1435	1476	LCR: determinación sexológica para HTLV-I	122435008	PARENT	122435008
S0004-06142005001000011-3	PROCEDIMIENTO	1501	1582	Determinación sanguínea de anticuerpos (ELISA) y de existencia del virus (HTLV-I)	104317009	EXACT	['122435008']
S0004-06142005001000011-3	PROCEDIMIENTO	1501	1582	Determinación sanguínea de anticuerpos (ELISA) y de existencia del virus (HTLV-I)	122435008	PARENT	122435008
S0004-06142005001000011-3	PROCEDIMIENTO	2018	2042	sonda vesical permanente	23973005	EXACT	['20568009']
S0004-06142005001000011-3	PROCEDIMIENTO	2018	2042	sonda vesical permanente	20568009	PARENT	20568009
S0004-06142005001000011-3	PROCEDIMIENTO	2079	2128	reeducación vesical mediante sondaje intermitente	704117005	NARROW	['223464006']
S0004-06142005001000011-3	PROCEDIMIENTO	2079	2128	reeducación vesical mediante sondaje intermitente	223464006	PARENT	223464006
S0004-06142005001000011-3	PROCEDIMIENTO	2133	2152	trasplante hepático	18027006	EXACT	['313039003', '4974007', '82316003']
S0004-06142005001000011-3	PROCEDIMIENTO	2133	2152	trasplante hepático	313039003	PARENT	313039003
S0004-06142005001000011-3	PROCEDIMIENTO	2133	2152	trasplante hepático	4974007	PARENT	4974007
S0004-06142005001000011-3	PROCEDIMIENTO	2133	2152	trasplante hepático	82316003	PARENT	82316003
S0004-06142005001000011-3	PROCEDIMIENTO	2225	2241	trasplantectomía	240326000	EXACT	['107963000', '271298009']
S0004-06142005001000011-3	PROCEDIMIENTO	2225	2241	trasplantectomía	107963000	PARENT	107963000
S0004-06142005001000011-3	PROCEDIMIENTO	2225	2241	trasplantectomía	271298009	PARENT	271298009
S0004-06142006000100010-1	PROCEDIMIENTO	174	192	exploración física	5880005	EXACT	['315306007', '362958002']
S0004-06142006000100010-1	PROCEDIMIENTO	174	192	exploración física	315306007	PARENT	315306007
S0004-06142006000100010-1	PROCEDIMIENTO	174	192	exploración física	362958002	PARENT	362958002
S0004-06142006000100010-1	PROCEDIMIENTO	216	237	ultrasonido abdominal	45036003	EXACT	['108288002', '441987005']
S0004-06142006000100010-1	PROCEDIMIENTO	216	237	ultrasonido abdominal	108288002	PARENT	108288002
S0004-06142006000100010-1	PROCEDIMIENTO	216	237	ultrasonido abdominal	441987005	PARENT	441987005
S0004-06142006000100010-1	PROCEDIMIENTO	348	368	Urograma descendente	32265006	EXACT	['113103008', '303774000']
S0004-06142006000100010-1	PROCEDIMIENTO	348	368	Urograma descendente	113103008	PARENT	113103008
S0004-06142006000100010-1	PROCEDIMIENTO	348	368	Urograma descendente	303774000	PARENT	303774000
S0004-06142006000100010-1	PROCEDIMIENTO	479	493	TAC helicoidal	116152004	EXACT	['77477000']
S0004-06142006000100010-1	PROCEDIMIENTO	479	493	TAC helicoidal	77477000	PARENT	77477000
S0004-06142006000100010-1	PROCEDIMIENTO	681	731	estudio hormonal para la determinación de cortisol	62037009	EXACT	['104739009']
S0004-06142006000100010-1	PROCEDIMIENTO	681	731	estudio hormonal para la determinación de cortisol	104739009	PARENT	104739009
S0004-06142006000100010-1	PROCEDIMIENTO	771	798	cirugía por abordaje lumbar	74943008	NARROW	['118694006', '128927009', '387713003']
S0004-06142006000100010-1	PROCEDIMIENTO	771	798	cirugía por abordaje lumbar	118694006	PARENT	118694006
S0004-06142006000100010-1	PROCEDIMIENTO	771	798	cirugía por abordaje lumbar	128927009	PARENT	128927009
S0004-06142006000100010-1	PROCEDIMIENTO	771	798	cirugía por abordaje lumbar	387713003	PARENT	387713003
S0004-06142006000100010-1	PROCEDIMIENTO	804	830	hallazgos transoperatorios	387713003	EXACT	['71388002']
S0004-06142006000100010-1	PROCEDIMIENTO	804	830	hallazgos transoperatorios	71388002	PARENT	71388002
S0004-06142006000100010-1	PROCEDIMIENTO	961	983	adrenalectomía derecha	726489004	EXACT	['31904001']
S0004-06142006000100010-1	PROCEDIMIENTO	961	983	adrenalectomía derecha	31904001	PARENT	31904001
S0004-06142006000100010-1	PROCEDIMIENTO	1298	1320	examen histopatológico	252416005	EXACT	['108257001', '714797009']
S0004-06142006000100010-1	PROCEDIMIENTO	1298	1320	examen histopatológico	108257001	PARENT	108257001
S0004-06142006000100010-1	PROCEDIMIENTO	1298	1320	examen histopatológico	714797009	PARENT	714797009
S0004-06142006000100014-1	PROCEDIMIENTO	71	92	gastrectomía subtotal	49209004	EXACT	['53442002']
S0004-06142006000100014-1	PROCEDIMIENTO	71	92	gastrectomía subtotal	53442002	PARENT	53442002
S0004-06142006000100014-1	PROCEDIMIENTO	419	437	exploración física	5880005	EXACT	['315306007', '362958002']
S0004-06142006000100014-1	PROCEDIMIENTO	419	437	exploración física	315306007	PARENT	315306007
S0004-06142006000100014-1	PROCEDIMIENTO	419	437	exploración física	362958002	PARENT	362958002
S0004-06142006000100014-1	PROCEDIMIENTO	999	1042	marcadores tumorales hepáticos y digestivos	250724005	NARROW	['430925007']
S0004-06142006000100014-1	PROCEDIMIENTO	999	1042	marcadores tumorales hepáticos y digestivos	430925007	PARENT	430925007
S0004-06142006000100014-1	PROCEDIMIENTO	1067	1079	gastroscopia	76009000	EXACT	['49230008', '61328004']
S0004-06142006000100014-1	PROCEDIMIENTO	1067	1079	gastroscopia	49230008	PARENT	49230008
S0004-06142006000100014-1	PROCEDIMIENTO	1067	1079	gastroscopia	61328004	PARENT	61328004
S0004-06142006000100014-1	PROCEDIMIENTO	1205	1217	colonoscopia	73761001	EXACT	['118839001', '6019008']
S0004-06142006000100014-1	PROCEDIMIENTO	1205	1217	colonoscopia	118839001	PARENT	118839001
S0004-06142006000100014-1	PROCEDIMIENTO	1205	1217	colonoscopia	6019008	PARENT	6019008
S0004-06142006000100014-1	PROCEDIMIENTO	1283	1308	ecografía abdominopélvica	418394000	EXACT	['24848001', '45036003']
S0004-06142006000100014-1	PROCEDIMIENTO	1283	1308	ecografía abdominopélvica	24848001	PARENT	24848001
S0004-06142006000100014-1	PROCEDIMIENTO	1283	1308	ecografía abdominopélvica	45036003	PARENT	45036003
S0004-06142006000100014-1	PROCEDIMIENTO	1680	1701	urografía intravenosa	32265006	EXACT	['113103008', '303774000']
S0004-06142006000100014-1	PROCEDIMIENTO	1680	1701	urografía intravenosa	113103008	PARENT	113103008
S0004-06142006000100014-1	PROCEDIMIENTO	1680	1701	urografía intravenosa	303774000	PARENT	303774000
S0004-06142006000100014-1	PROCEDIMIENTO	1909	1919	cistograma	168854009	EXACT	['113103008', '118855008', '303774000', '303790000', '715959009']
S0004-06142006000100014-1	PROCEDIMIENTO	1909	1919	cistograma	113103008	PARENT	113103008
S0004-06142006000100014-1	PROCEDIMIENTO	1909	1919	cistograma	118855008	PARENT	118855008
S0004-06142006000100014-1	PROCEDIMIENTO	1909	1919	cistograma	303774000	PARENT	303774000
S0004-06142006000100014-1	PROCEDIMIENTO	1909	1919	cistograma	303790000	PARENT	303790000
S0004-06142006000100014-1	PROCEDIMIENTO	1909	1919	cistograma	715959009	PARENT	715959009
S0004-06142006000100014-1	PROCEDIMIENTO	1924	1927	TAC	77477000	EXACT	['363680008']
S0004-06142006000100014-1	PROCEDIMIENTO	1924	1927	TAC	363680008	PARENT	363680008
S0004-06142006000100014-1	PROCEDIMIENTO	2366	2384	drenaje percutáneo	698956007	NARROW	['241026003', '782901001']
S0004-06142006000100014-1	PROCEDIMIENTO	2366	2384	drenaje percutáneo	241026003	PARENT	241026003
S0004-06142006000100014-1	PROCEDIMIENTO	2366	2384	drenaje percutáneo	782901001	PARENT	782901001
S0004-06142006000100014-1	PROCEDIMIENTO	2397	2408	nefrectomía	108022006	EXACT	['108189003', '118959001', '175898006']
S0004-06142006000100014-1	PROCEDIMIENTO	2397	2408	nefrectomía	108189003	PARENT	108189003
S0004-06142006000100014-1	PROCEDIMIENTO	2397	2408	nefrectomía	118959001	PARENT	118959001
S0004-06142006000100014-1	PROCEDIMIENTO	2397	2408	nefrectomía	175898006	PARENT	175898006
S0004-06142006000100014-1	PROCEDIMIENTO	2421	2472	nefrectomía simple derecha por lumbotomía subcostal	765473008	NARROW	['108022006']
S0004-06142006000100014-1	PROCEDIMIENTO	2421	2472	nefrectomía simple derecha por lumbotomía subcostal	108022006	PARENT	108022006
S0004-06142006000100014-1	PROCEDIMIENTO	2473	2525	evacuando 7.800 mililitros de contenido serohemático	118441006	EXACT	['122461007']
S0004-06142006000100014-1	PROCEDIMIENTO	2473	2525	evacuando 7.800 mililitros de contenido serohemático	122461007	PARENT	122461007
S0004-06142006000100014-1	PROCEDIMIENTO	2539	2570	linfadenectomía hiliar ampliada	234253006	NARROW	['58347006']
S0004-06142006000100014-1	PROCEDIMIENTO	2539	2570	linfadenectomía hiliar ampliada	58347006	PARENT	58347006
S0004-06142006000100014-1	PROCEDIMIENTO	2621	2639	cultivo del fluido	61594008	EXACT	['19851009']
S0004-06142006000100014-1	PROCEDIMIENTO	2621	2639	cultivo del fluido	19851009	PARENT	19851009
S0004-06142006000100014-1	PROCEDIMIENTO	2674	2683	citología	116147009	EXACT	['15220000']
S0004-06142006000100014-1	PROCEDIMIENTO	2674	2683	citología	15220000	PARENT	15220000
S0004-06142006000100014-1	PROCEDIMIENTO	2719	2730	radiológica	363679005	EXACT	['386053000']
S0004-06142006000100014-1	PROCEDIMIENTO	2719	2730	radiológica	386053000	PARENT	386053000
S0004-06142006000100014-1	PROCEDIMIENTO	2773	2791	examen histológico	252416005	EXACT	['108257001', '714797009']
S0004-06142006000100014-1	PROCEDIMIENTO	2773	2791	examen histológico	108257001	PARENT	108257001
S0004-06142006000100014-1	PROCEDIMIENTO	2773	2791	examen histológico	714797009	PARENT	714797009
S0004-06142006000200013-1	PROCEDIMIENTO	20	36	histerectomizada	236886002	EXACT	['108189003', '123014005', '79876008']
S0004-06142006000200013-1	PROCEDIMIENTO	20	36	histerectomizada	108189003	PARENT	108189003
S0004-06142006000200013-1	PROCEDIMIENTO	20	36	histerectomizada	123014005	PARENT	123014005
S0004-06142006000200013-1	PROCEDIMIENTO	20	36	histerectomizada	79876008	PARENT	79876008
S0004-06142006000200013-1	PROCEDIMIENTO	177	206	estudios citológicos de orina	609316007	EXACT	['116147009', '127800008']
S0004-06142006000200013-1	PROCEDIMIENTO	177	206	estudios citológicos de orina	116147009	PARENT	116147009
S0004-06142006000200013-1	PROCEDIMIENTO	177	206	estudios citológicos de orina	127800008	PARENT	127800008
S0004-06142006000200013-1	PROCEDIMIENTO	250	268	Estudios de imagen	363679005	EXACT	['386053000']
S0004-06142006000200013-1	PROCEDIMIENTO	250	268	Estudios de imagen	386053000	PARENT	386053000
S0004-06142006000200013-1	PROCEDIMIENTO	285	308	intervención quirúrgica	387713003	EXACT	['71388002']
S0004-06142006000200013-1	PROCEDIMIENTO	285	308	intervención quirúrgica	71388002	PARENT	71388002
S0004-06142006000200013-1	PROCEDIMIENTO	590	615	enucleación de tal lesión	39250009	EXACT	['128303001']
S0004-06142006000200013-1	PROCEDIMIENTO	590	615	enucleación de tal lesión	128303001	PARENT	128303001
S0004-06142006000200013-1	PROCEDIMIENTO	616	644	se tomó una muestra ureteral	429894001	EXACT	['229931005', '362995002']
S0004-06142006000200013-1	PROCEDIMIENTO	616	644	se tomó una muestra ureteral	229931005	PARENT	229931005
S0004-06142006000200013-1	PROCEDIMIENTO	616	644	se tomó una muestra ureteral	362995002	PARENT	362995002
S0004-06142006000200013-1	PROCEDIMIENTO	667	694	diagnóstico histopatológico	252416005	EXACT	['108257001', '714797009']
S0004-06142006000200013-1	PROCEDIMIENTO	667	694	diagnóstico histopatológico	108257001	PARENT	108257001
S0004-06142006000200013-1	PROCEDIMIENTO	667	694	diagnóstico histopatológico	714797009	PARENT	714797009
S0004-06142006000200013-1	PROCEDIMIENTO	737	757	estudio macroscópico	168126000	EXACT	['117258001', '58586006']
S0004-06142006000200013-1	PROCEDIMIENTO	737	757	estudio macroscópico	117258001	PARENT	117258001
S0004-06142006000200013-1	PROCEDIMIENTO	737	757	estudio macroscópico	58586006	PARENT	58586006
S0004-06142006000200013-1	PROCEDIMIENTO	953	972	estudio histológico	252416005	EXACT	['108257001', '714797009']
S0004-06142006000200013-1	PROCEDIMIENTO	953	972	estudio histológico	108257001	PARENT	108257001
S0004-06142006000200013-1	PROCEDIMIENTO	953	972	estudio histológico	714797009	PARENT	714797009
S0004-06142006000200013-1	PROCEDIMIENTO	1130	1156	tinción inmunohistoquímica	117617002	EXACT	['108257001']
S0004-06142006000200013-1	PROCEDIMIENTO	1130	1156	tinción inmunohistoquímica	108257001	PARENT	108257001
S0004-06142006000200014-1	PROCEDIMIENTO	65	74	ecografía	16310003	EXACT	['363679005']
S0004-06142006000200014-1	PROCEDIMIENTO	65	74	ecografía	363679005	PARENT	363679005
S0004-06142006000200014-1	PROCEDIMIENTO	307	309	TC	77477000	EXACT	['363680008']
S0004-06142006000200014-1	PROCEDIMIENTO	307	309	TC	363680008	PARENT	363680008
S0004-06142006000200014-1	PROCEDIMIENTO	589	619	Gammagrafía ósea con Tc99m-MDP	418832007	NARROW	['41747008']
S0004-06142006000200014-1	PROCEDIMIENTO	589	619	Gammagrafía ósea con Tc99m-MDP	41747008	PARENT	41747008
S0004-06142006000200014-1	PROCEDIMIENTO	702	729	nefrectomía radical derecha	443869003	EXACT	['175905003', '765473008']
S0004-06142006000200014-1	PROCEDIMIENTO	702	729	nefrectomía radical derecha	175905003	PARENT	175905003
S0004-06142006000200014-1	PROCEDIMIENTO	702	729	nefrectomía radical derecha	765473008	PARENT	765473008
S0004-06142006000200014-1	PROCEDIMIENTO	870	879	disección	122459003	EXACT	['128927009', '387713003']
S0004-06142006000200014-1	PROCEDIMIENTO	870	879	disección	128927009	PARENT	128927009
S0004-06142006000200014-1	PROCEDIMIENTO	870	879	disección	387713003	PARENT	387713003
S0004-06142006000200014-1	PROCEDIMIENTO	930	948	anatomo-patológico	108257001	EXACT	['108252007']
S0004-06142006000200014-1	PROCEDIMIENTO	930	948	anatomo-patológico	108252007	PARENT	108252007
S0004-06142006000200014-1	PROCEDIMIENTO	1163	1189	estudio inmunohistoquímico	117617002	EXACT	['108257001']
S0004-06142006000200014-1	PROCEDIMIENTO	1163	1189	estudio inmunohistoquímico	108257001	PARENT	108257001
S0004-06142006000200014-1	PROCEDIMIENTO	1443	1453	ecografias	16310003	EXACT	['363679005']
S0004-06142006000200014-1	PROCEDIMIENTO	1443	1453	ecografias	363679005	PARENT	363679005
S0004-06142006000200014-1	PROCEDIMIENTO	1468	1470	TC	77477000	EXACT	['363680008']
S0004-06142006000200014-1	PROCEDIMIENTO	1468	1470	TC	363680008	PARENT	363680008
S0004-06142006000500002-2	PROCEDIMIENTO	329	347	exploración física	5880005	EXACT	['315306007', '362958002']
S0004-06142006000500002-2	PROCEDIMIENTO	329	347	exploración física	315306007	PARENT	315306007
S0004-06142006000500002-2	PROCEDIMIENTO	329	347	exploración física	362958002	PARENT	362958002
