filename	label	off0	off1	span	code	semantic_rel	code_wp
S0211-69952009000500017-1	FARMACO	576	580	Ig M	74889000	EXACT	['70095009']
S0211-69952009000500017-1	FARMACO	1551	1560	enalapril	372658000	EXACT	['372733002', '414000001']
S0211-69952009000500017-1	FARMACO	198	207	enalapril	372658000	EXACT	['372733002', '414000001']
S0211-69952009000500017-1	FARMACO	1518	1522	urea	387092000	EXACT	['372792005', '412053006', '72675009']
S0211-69952009000500017-1	FARMACO	115	119	urea	387092000	EXACT	['372792005', '412053006', '72675009']
S0211-69952009000500017-1	FARMACO	1472	1482	creatinina	15373003	EXACT	['116651007', '259297003']
S0211-69952009000500017-1	FARMACO	92	102	creatinina	15373003	EXACT	['116651007', '259297003']
S0211-69952009000500017-1	FARMACO	1205	1213	losartán	373567002	EXACT	['35098001', '372913009']
S0211-69952009000500017-1	FARMACO	1154	1163	proteínas	88878007	EXACT	['70354003']
S0004-06142007000900017-1	FARMACO	3360	3370	prednisona	116602009	EXACT	['126090008', '372688009', '372823004', '419933005']
S0004-06142007000900017-1	FARMACO	2876	2886	prednisona	116602009	EXACT	['126090008', '372688009', '372823004', '419933005']
S0004-06142007000900017-1	FARMACO	3348	3357	docetaxel	386918005	EXACT	['372688009', '373244000', '418965003', '429771008']
S0004-06142007000900017-1	FARMACO	3070	3079	docetaxel	386918005	EXACT	['372688009', '373244000', '418965003', '429771008']
S0004-06142007000900017-1	FARMACO	2833	2842	docetaxel	386918005	EXACT	['372688009', '373244000', '418965003', '429771008']
S0004-06142007000900017-1	FARMACO	2783	2788	lh-rh	49869009	EXACT	['18535002', '768009002']
S0004-06142007000900017-1	FARMACO	575	580	lh-rh	49869009	EXACT	['18535002', '768009002']
S0004-06142007000900017-1	FARMACO	2744	2753	flutamida	387587007	EXACT	['1157051009', '1196804006', '372688009', '406777002']
S0004-06142007000900017-1	FARMACO	582	591	flutamida	387587007	EXACT	['1157051009', '1196804006', '372688009', '406777002']
S0004-06142007000900017-1	FARMACO	1383	1401	fosfatasa alcalina	57056007	EXACT	['130132002', '259670004']
S0004-06142007000900017-1	FARMACO	427	447	fosfatasas alcalinas	57056007	EXACT	['130132002', '259670004']
S0004-06142007000900017-1	FARMACO	3218	3221	PSA	102687007	EXACT	['130202003', '259672007', '88878007']
S0004-06142007000900017-1	FARMACO	2982	2985	PSA	102687007	EXACT	['130202003', '259672007', '88878007']
S0004-06142007000900017-1	FARMACO	1416	1419	PSA	102687007	EXACT	['130202003', '259672007', '88878007']
S0004-06142007000900017-1	FARMACO	659	662	PSA	102687007	EXACT	['130202003', '259672007', '88878007']
S0004-06142007000900017-1	FARMACO	415	418	PSA	102687007	EXACT	['130202003', '259672007', '88878007']
S0004-06142007000900017-1	FARMACO	594	611	ácido zoledrómico	395926009	EXACT	['768145002']
S0004-06142007000900017-1	FARMACO	1372	1375	GGT	60153001	EXACT	['130082009', '259670004', '312204001']
S0211-69952016000600552-1	FARMACO	5287	5295	arginina	52625008	EXACT	['112000000', '43984007', '47617006']
S0211-69952016000600552-1	FARMACO	5297	5300	Arg	52625008	EXACT	['112000000', '43984007', '47617006']
S0211-69952016000600552-1	FARMACO	5302	5303	R	52625008	EXACT	['112000000', '43984007', '47617006']
S0211-69952016000600552-1	FARMACO	5339	5340	H	60260004	EXACT	['112000000', '112001001', '43984007', '47617006']
S0211-69952016000600552-1	FARMACO	5334	5337	His	60260004	EXACT	['112000000', '112001001', '43984007', '47617006']
S0211-69952016000600552-1	FARMACO	5323	5332	histidina	60260004	EXACT	['112000000', '112001001', '43984007', '47617006']
S0211-69952016000600552-1	FARMACO	3227	3233	calcio	5540006	EXACT	['57795002', '767178007', '87918000']
S0211-69952016000600552-1	FARMACO	2257	2263	calcio	5540006	EXACT	['57795002', '767178007', '87918000']
S0211-69952016000600552-1	FARMACO	1229	1235	calcio	5540006	EXACT	['57795002', '767178007', '87918000']
S0211-69952016000600552-1	FARMACO	3283	3291	magnesio	72717003	EXACT	['65436002', '767301009', '87918000']
S0211-69952016000600552-1	FARMACO	2505	2513	magnesio	72717003	EXACT	['65436002', '767301009', '87918000']
S0211-69952016000600552-1	FARMACO	2342	2350	magnesio	72717003	EXACT	['65436002', '767301009', '87918000']
S0211-69952016000600552-1	FARMACO	1071	1079	magnesio	72717003	EXACT	['65436002', '767301009', '87918000']
S0211-69952016000600552-1	FARMACO	3245	3268	calcio iónico corregido	259294005	EXACT	[]
S0211-69952016000600552-1	FARMACO	2275	2298	calcio iónico corregido	259294005	EXACT	[]
S0211-69952016000600552-1	FARMACO	1012	1035	calcio iónico corregido	259294005	EXACT	[]
S0211-69952016000600552-1	FARMACO	3202	3213	bicarbonato	68615006	EXACT	['259094000']
S0211-69952016000600552-1	FARMACO	2232	2243	bicarbonato	68615006	EXACT	['259094000']
S0211-69952016000600552-1	FARMACO	968	979	bicarbonato	68615006	EXACT	['259094000']
S0211-69952016000600552-1	FARMACO	3173	3180	potasio	88480006	EXACT	['57795002', '767364003', '87918000']
S0211-69952016000600552-1	FARMACO	2203	2210	potasio	88480006	EXACT	['57795002', '767364003', '87918000']
S0211-69952016000600552-1	FARMACO	933	940	potasio	88480006	EXACT	['57795002', '767364003', '87918000']
S0211-69952016000600552-1	FARMACO	3155	3160	sodio	39972003	EXACT	['57795002', '767403008', '87918000']
S0211-69952016000600552-1	FARMACO	2185	2190	sodio	39972003	EXACT	['57795002', '767403008', '87918000']
S0211-69952016000600552-1	FARMACO	913	918	sodio	39972003	EXACT	['57795002', '767403008', '87918000']
S0211-69952016000600552-1	FARMACO	3133	3143	creatinina	15373003	EXACT	['116651007', '259297003']
S0211-69952016000600552-1	FARMACO	2163	2173	creatinina	15373003	EXACT	['116651007', '259297003']
S0211-69952016000600552-1	FARMACO	1636	1646	creatinina	15373003	EXACT	['116651007', '259297003']
S0211-69952016000600552-1	FARMACO	863	873	creatinina	15373003	EXACT	['116651007', '259297003']
S0211-69952016000600552-1	FARMACO	325	335	creatinina	15373003	EXACT	['116651007', '259297003']
S0211-69952016000600552-1	FARMACO	4325	4340	ácido valproico	387080000	EXACT	['264325000', '423078004']
S0211-69952016000600552-1	FARMACO	4092	4107	ácido valproico	387080000	EXACT	['264325000', '423078004']
S0211-69952016000600552-1	FARMACO	3962	3977	ácido valproico	387080000	EXACT	['264325000', '423078004']
S0211-69952016000600552-1	FARMACO	3925	3933	diacepam	387264003	EXACT	['372616003']
S0211-69952016000600552-1	FARMACO	3787	3800	levetiracetam	387000003	EXACT	['255632006', '259274001']
S0211-69952016000600552-1	FARMACO	3438	3447	edrofonio	373342004	EXACT	['372892004', '373348000', '373782009', '56822005', '766776008']
S0211-69952016000600552-1	FARMACO	3049	3056	oxígeno	24099007	EXACT	['1230106003', '57795002']
S0211-69952016000600552-1	FARMACO	2495	2502	potasio	88480006	EXACT	['57795002', '767364003', '87918000']
S0211-69952016000600552-1	FARMACO	2448	2466	bicarbonato sódico	387319002	EXACT	['372794006', '68615006']
S0211-69952016000600552-1	FARMACO	2424	2434	calcitriol	259333003	EXACT	['112113009', '33535006', '767613006']
S0211-69952016000600552-1	FARMACO	2390	2407	carbonato cálcico	387307005	EXACT	['259094000', '31212001']
S0211-69952016000600552-1	FARMACO	2325	2329	PTHi	4076007	EXACT	['1148672001', '259672007']
S0211-69952016000600552-1	FARMACO	2312	2319	fósforo	30820000	EXACT	['767361006', '87918000']
S0211-69952016000600552-1	FARMACO	1436	1451	gammaglobulinas	116648000	EXACT	['81905004']
S0211-69952016000600552-1	FARMACO	1372	1375	ANA	45530001	EXACT	['259904005', '30621004']
S0211-69952016000600552-1	FARMACO	1354	1370	inmunoglobulinas	112133008	EXACT	['395835001']
S0211-69952016000600552-1	FARMACO	1306	1317	ácido úrico	1710001	EXACT	['88476001']
S0211-69952016000600552-1	FARMACO	1281	1291	vitamina D	30178006	EXACT	['116566001', '35733004']
S0211-69952016000600552-1	FARMACO	1265	1269	PTHi	4076007	EXACT	['1148672001', '259672007']
S0211-69952016000600552-1	FARMACO	1247	1254	fósforo	30820000	EXACT	['767361006', '87918000']
S0211-69952016000600552-1	FARMACO	451	461	creatinina	15373003	EXACT	['116651007', '259297003']
S1137-66272011000100012-1	FARMACO	1371	1374	AAT	14767006	EXACT	['116189001', '116193007', '373272007', '414500009', '786958002', '91309004']
S1137-66272011000100012-1	FARMACO	1249	1252	AAT	14767006	EXACT	['116189001', '116193007', '373272007', '414500009', '786958002', '91309004']
S1137-66272011000100012-1	FARMACO	229	241	levotiroxina	710809001	EXACT	['18220004']
S1137-66272011000100012-1	FARMACO	180	190	amlodipino	386864001	EXACT	['372586001', '406769001']
S1137-66272011000100012-1	FARMACO	139	146	tóxicos	264324001	EXACT	[]
S0365-66912012000700003-1	FARMACO	560	565	K-ras	85460009	EXACT	['41469002']
S0365-66912012000700003-1	FARMACO	1890	1907	metilprednisolona	116593003	EXACT	['126090008', '419933005']
S0365-66912012000700003-1	FARMACO	743	754	bevacizumab	409406007	EXACT	['372688009', '409408008', '49616005', '786910006']
S0365-66912012000700003-1	FARMACO	608	619	panitumumab	423259008	EXACT	['304380002', '409402009', '49616005']
S0365-66912012000700003-1	FARMACO	596	605	cetuximab	409400001	EXACT	['304380002', '372558009', '409402009', '49616005']
S0365-66912012000700003-1	FARMACO	492	502	irinotecán	372538008	EXACT	['123682001', '372537003', '372688009', '430502001', '430745006']
S0365-66912012000700003-1	FARMACO	463	475	oxaliplatino	395814003	EXACT	['11996000', '372688009']
S0365-66912012000700003-1	FARMACO	410	422	oxaliplatino	395814003	EXACT	['11996000', '372688009']
S0365-66912012000700003-1	FARMACO	479	491	capecitabina	386906001	EXACT	['429660001', '866175004']
S0365-66912012000700003-1	FARMACO	450	462	capecitabina	386906001	EXACT	['429660001', '866175004']
S0365-66912012000700003-1	FARMACO	438	448	fluoracilo	387172005	EXACT	['429660001', '866175004']
S0365-66912012000700003-1	FARMACO	423	437	acido folínico	396065004	EXACT	['103069003', '22078005']
S1130-01082008000100009-1	FARMACO	342	352	protombina	7348004	EXACT	['102794000', '116181003', '116724000']
S1130-01082008000100009-1	FARMACO	246	259	transaminasas	130093006	EXACT	['44121006']
S1698-44472004000500007-1	FARMACO	2693	2698	plata	41967008	EXACT	['22907001', '57795002', '767401005']
S1698-44472004000500007-1	FARMACO	1566	1571	plata	41967008	EXACT	['22907001', '57795002', '767401005']
S1698-44472004000500007-1	FARMACO	957	962	plata	41967008	EXACT	['22907001', '57795002', '767401005']
S1698-44472004000500007-1	FARMACO	564	569	plata	41967008	EXACT	['22907001', '57795002', '767401005']
S1130-05582005000300007-1	FARMACO	2186	2208	Penicilina G Benzatina	75247008	EXACT	['372598006', '373291007']
S1130-05582005000300007-1	FARMACO	1808	1812	CD 8	54237000	EXACT	['40992002']
S1130-05582005000300007-1	FARMACO	1772	1776	CD 4	24655002	EXACT	['40992002']
S1130-05582005000300007-1	FARMACO	1761	1764	CD8	54237000	EXACT	['40992002']
S1130-05582005000300007-1	FARMACO	1736	1740	CD 8	54237000	EXACT	['40992002']
S1130-05582005000300007-1	FARMACO	1756	1760	CD 4	24655002	EXACT	['40992002']
S1130-05582005000300007-1	FARMACO	1725	1729	CD 4	24655002	EXACT	['40992002']
S1130-05582005000300007-1	FARMACO	1717	1721	CD 3	44706009	EXACT	['40992002']
S1130-05582005000300007-1	FARMACO	1601	1604	IgG	29246005	EXACT	['70095009']
S1130-05582005000300007-1	FARMACO	1494	1502	Anti-HBs	82645009	EXACT	['122450004']
S1130-05582005000300007-1	FARMACO	1474	1482	Anti-HBc	82409003	EXACT	['122450004']
S1130-05582005000300007-1	FARMACO	1457	1462	AgHBs	22290004	EXACT	['303233001']
S1130-05582005000300007-1	FARMACO	1005	1010	cobre	66925006	EXACT	['22907001', '767209009', '87918000']
S1130-05582005000300007-1	FARMACO	380	389	aciclovir	372729009	EXACT	['372701006', '406764006']
S0211-57352015000100011-2	FARMACO	830	837	cocaína	387085005	EXACT	['300961004', '373477003', '387459000', '419961004']
S0211-57352015000100011-2	FARMACO	379	386	cocaína	387085005	EXACT	['300961004', '373477003', '387459000', '419961004']
S0211-57352015000100011-2	FARMACO	820	827	alcohol	53041004	EXACT	['41175001']
S0211-57352015000100011-2	FARMACO	369	376	alcohol	53041004	EXACT	['41175001']
S0211-57352015000100011-2	FARMACO	803	818	benzodiacepinas	372664007	EXACT	['255632006', '372585002', '372614000', '373282008', '413639003']
S0211-57352015000100011-2	FARMACO	793	801	tramadol	386858008	EXACT	['1149501006', '373265006', '404642006', '414858002', '9680003']
S0211-57352015000100011-2	FARMACO	359	367	cannabis	398705004	EXACT	['373469002', '62873003', '771355003']
S0211-57352015000100011-2	FARMACO	349	357	tramadol	386858008	EXACT	['1149501006', '373265006', '404642006', '414858002', '9680003']
S0211-57352015000100011-2	FARMACO	287	295	diazepam	387264003	EXACT	['372616003']
S0211-57352015000100011-2	FARMACO	265	275	olanzapina	386849001	EXACT	['372482001', '764427001']
S0211-57352015000100011-2	FARMACO	241	254	amisulpi-ride	391761004	EXACT	['372482001', '766036005']
S0212-16112009000600018-1	FARMACO	3568	3571	MCT	395781005	EXACT	['85600001']
S0212-16112009000600018-1	FARMACO	3716	3719	MCT	395781005	EXACT	['85600001']
S0212-16112009000600018-1	FARMACO	3587	3602	sulfato de zinc	387367007	EXACT	['41503000']
S0212-16112009000600018-1	FARMACO	3771	3779	proteína	88878007	EXACT	['70354003']
S0212-16112009000600018-1	FARMACO	3297	3300	AFP	49944008	EXACT	['259668008', '259672007', '88878007']
S0212-16112009000600018-1	FARMACO	3273	3278	B-HCG	40940006	EXACT	['123013004', '59433001']
S0212-16112009000600018-1	FARMACO	3251	3254	PTH	4076007	EXACT	['1148672001', '259672007']
S0212-16112009000600018-1	FARMACO	3221	3231	vitamina D	30178006	EXACT	['116566001', '35733004']
S0212-16112009000600018-1	FARMACO	3200	3210	colesterol	84698008	EXACT	['16136003', '259417002', '259428003']
S0212-16112009000600018-1	FARMACO	3189	3199	vitamina E	37237003	EXACT	['35733004', '424563009']
S0212-16112009000600018-1	FARMACO	3144	3173	proteína ligadora del retinol	259639007	EXACT	['304372009']
S0212-16112009000600018-1	FARMACO	3133	3143	vitamina A	82622003	EXACT	['787948005']
S0212-16112009000600018-1	FARMACO	3118	3122	zinc	86739005	EXACT	['22907001', '767513003', '87918000']
S0212-16112009000600018-1	FARMACO	3089	3095	folato	63718003	EXACT	['792796007']
S0212-16112009000600018-1	FARMACO	3054	3066	vitamina B12	419679002	EXACT	[]
S0212-16112009000600018-1	FARMACO	3028	3039	protrombina	7348004	EXACT	['102794000', '116181003', '116724000']
S0212-16112009000600018-1	FARMACO	2750	2761	hemoglobina	38082009	EXACT	['304372009']
S0212-16112009000600018-1	FARMACO	2671	2683	transferrina	59570008	EXACT	['259699009', '304372009', '91309004']
S0212-16112009000600018-1	FARMACO	2646	2657	transferina	59570008	EXACT	['259699009', '304372009', '91309004']
S0212-16112009000600018-1	FARMACO	2602	2611	ferritina	32789000	EXACT	['259699009', '88878007']
S0212-16112009000600018-1	FARMACO	2580	2582	Fe	3829006	EXACT	['22907001', '259699009', '767270007', '87918000']
S0212-16112009000600018-1	FARMACO	2551	2559	albúmina	52454007	EXACT	['395835001']
S0212-16112009000600018-1	FARMACO	2513	2530	proteínas totales	395835001	EXACT	['261226001', '88878007']
S0212-16112009000600018-1	FARMACO	2480	2493	triglicéridos	85600001	EXACT	['102703002', '259417002', '259428003']
S0212-16112009000600018-1	FARMACO	2464	2467	LDL	102739008	EXACT	['22244007', '84698008']
S0212-16112009000600018-1	FARMACO	2450	2453	HDL	102737005	EXACT	['84698008', '9422000']
S0212-16112009000600018-1	FARMACO	2422	2432	colesterol	84698008	EXACT	['16136003', '259417002', '259428003']
S0212-16112009000600018-1	FARMACO	2380	2387	fósforo	30820000	EXACT	['767361006', '87918000']
S0212-16112009000600018-1	FARMACO	2371	2377	Calcio	5540006	EXACT	['57795002', '767178007', '87918000']
S0212-16112009000600018-1	FARMACO	2367	2369	Cl	29276003	EXACT	['28227002', '74947009', '767205003']
S0212-16112009000600018-1	FARMACO	2364	2365	K	88480006	EXACT	['57795002', '767364003', '87918000']
S0212-16112009000600018-1	FARMACO	2360	2362	Na	39972003	EXACT	['57795002', '767403008', '87918000']
S0212-16112009000600018-1	FARMACO	2333	2338	urato	88476001	EXACT	['1172581002', '259297003']
S0212-16112009000600018-1	FARMACO	2301	2311	creatinina	15373003	EXACT	['116651007', '259297003']
S0212-16112009000600018-1	FARMACO	2274	2281	glucosa	67079006	EXACT	['116259001']
S0212-16112009000600018-1	FARMACO	1667	1670	HCG	59433001	EXACT	['259668008', '259672007', '408755005', '42056007']
S0212-16112009000600018-1	FARMACO	1661	1664	AFP	49944008	EXACT	['259668008', '259672007', '88878007']
S0212-16112009000600018-1	FARMACO	1506	1519	triglicéridos	85600001	EXACT	['102703002', '259417002', '259428003']
S0212-16112009000600018-1	FARMACO	541	550	Etopósido	387316009	EXACT	['1004161000', '372542006', '372688009', '373244000']
S0212-16112009000600018-1	FARMACO	499	508	Etopósido	387316009	EXACT	['1004161000', '372542006', '372688009', '373244000']
S0212-16112009000600018-1	FARMACO	530	540	Cisplatino	387318005	EXACT	['11996000', '372688009']
S0212-16112009000600018-1	FARMACO	488	498	Cisplatino	387318005	EXACT	['11996000', '372688009']
S0212-16112009000600018-1	FARMACO	477	487	Bleomicina	372843005	EXACT	['372599003', '414355008']
S2254-28842014000300010-1	FARMACO	2310	2334	reactantes de fase aguda	91309004	EXACT	['372558009', '395835001']
S2254-28842014000300010-1	FARMACO	2096	2104	opiáceos	395994000	EXACT	['419001004']
S2254-28842014000300010-1	FARMACO	1808	1819	cloxacilina	373276005	EXACT	['373277001']
S2254-28842014000300010-1	FARMACO	1590	1609	proteína C reactiva	61425002	EXACT	['81905004', '91309004']
S2254-28842014000300010-1	FARMACO	1161	1172	vancomicina	372735009	EXACT	['414355008']
S1135-76062014000100006-1	FARMACO	1400	1404	seda	412156001	EXACT	['256363008']
S0212-71992003000500006-1	FARMACO	1182	1189	antiRNA	444236000	EXACT	['90720009']
S0212-71992003000500006-1	FARMACO	1385	1388	TPO	103184005	EXACT	['116736006', '259886008']
S0212-71992003000500006-1	FARMACO	1390	1404	antiperoxidasa	103184005	EXACT	['116736006', '259886008']
S0212-71992003000500006-1	FARMACO	1342	1345	TGB	121128008	EXACT	['259886008']
S0212-71992003000500006-1	FARMACO	1347	1364	antitiroglobulina	121128008	EXACT	['259886008']
S0212-71992003000500006-1	FARMACO	2044	2062	hormonas tiroideas	18220004	EXACT	['87568004']
S0212-71992003000500006-1	FARMACO	1982	1985	TGB	121128008	EXACT	['259886008']
S0212-71992003000500006-1	FARMACO	2075	2078	TSH	65428006	EXACT	['10843002']
S0212-71992003000500006-1	FARMACO	1322	1325	TSH	65428006	EXACT	['10843002']
S0212-71992003000500006-1	FARMACO	1997	2000	TPO	103184005	EXACT	['116736006', '259886008']
S0212-71992003000500006-1	FARMACO	1301	1303	T4	73187006	EXACT	['1304135002', '18220004']
S0212-71992003000500006-1	FARMACO	1276	1278	T3	61275002	EXACT	['18220004']
S0212-71992003000500006-1	FARMACO	1217	1233	anticardiolipina	45396006	EXACT	['259916004', '90720009']
S0212-71992003000500006-1	FARMACO	1205	1208	RNP	259927002	EXACT	['28673005']
S0212-71992003000500006-1	FARMACO	1201	1204	ENA	116761009	EXACT	['45530001']
S0212-71992003000500006-1	FARMACO	1156	1163	antiDNA	6741004	EXACT	['45530001']
S0212-71992003000500006-1	FARMACO	1140	1143	ANA	45530001	EXACT	['259904005', '30621004']
S0212-71992003000500006-1	FARMACO	1058	1066	anti-EBV	120665004	EXACT	['116871000']
S0212-71992003000500006-1	FARMACO	400	411	amoxicilina	372687004	EXACT	['373298001']
S0212-71992003000500006-1	FARMACO	204	215	paracetamol	387517004	EXACT	['373216001', '417551008', '763836003', '766776008']
S0212-71992003000500006-1	FARMACO	1955	1980	anticuerpos antitiroideos	259886008	EXACT	['259877003', '30621004']
S0210-48062004000300006-1	FARMACO	2413	2417	S100	712718002	EXACT	['304372009']
S0210-48062004000300006-1	FARMACO	1363	1375	metanefrinas	24427005	EXACT	['781583009']
S0210-48062004000300006-1	FARMACO	1348	1361	catecolaminas	34582008	EXACT	['304366009']
S0210-48062004000300006-1	FARMACO	2485	2492	desmina	83475004	EXACT	['88878007']
S0210-48062004000300006-1	FARMACO	2469	2473	PS 3	259827001	EXACT	['120651001']
S0210-48062004000300006-1	FARMACO	2448	2457	vimentina	75925000	EXACT	['88878007']
S0210-48062004000300006-1	FARMACO	2429	2436	Oil-Red	40808006	EXACT	['2649007', '45389009']
S0210-48062004000300006-1	FARMACO	1378	1392	vanilmandelato	81810001	EXACT	['116612002', '765174005']
S0210-48062004000300006-1	FARMACO	1317	1333	corticosteroides	255877006	EXACT	['255852005']
S0210-48062004000300006-1	FARMACO	1298	1314	17-cetosteroides	46120009	EXACT	['304275008']
S0210-48062004000300006-1	FARMACO	1198	1206	cortisol	396458002	EXACT	['103036003', '112116001']
S0210-48062004000300006-1	FARMACO	1184	1195	aldosterona	42605004	EXACT	['103036003', '36887008']
S0210-48062004000300006-1	FARMACO	1118	1124	renina	112052004	EXACT	['33535006', '37276002', '74628008', '88878007']
S0210-48062004000300006-1	FARMACO	664	667	PSA	102687007	EXACT	['130202003', '259672007', '88878007']
S0210-48062004000300006-1	FARMACO	587	589	Hb	38082009	EXACT	['304372009']
S1130-05582010000200004-1	FARMACO	1084	1091	oxígeno	24099007	EXACT	['1230106003', '57795002']
S1130-05582010000200004-1	FARMACO	1017	1024	oxígeno	24099007	EXACT	['1230106003', '57795002']
S1130-05582010000200004-1	FARMACO	433	444	Iridium 196	79506002	EXACT	['33239004']
S0376-78922009000400002-1	FARMACO	394	411	suero fisiológico	373757009	EXACT	['60471000', '68356001']
S0376-78922009000400002-1	FARMACO	1020	1028	Gore-tex	257402009	EXACT	['289964002']
S0211-57352013000300011-1	FARMACO	4331	4339	Depakine	387080000	EXACT	['264325000', '423078004']
S0211-57352013000300011-1	FARMACO	2655	2670	ácido valproico	387080000	EXACT	['264325000', '423078004']
S0211-57352013000300011-1	FARMACO	3639	3646	alcohol	53041004	EXACT	['41175001']
S0211-57352013000300011-1	FARMACO	2787	2794	alcohol	53041004	EXACT	['41175001']
S0211-57352013000300011-1	FARMACO	1265	1272	alcohol	53041004	EXACT	['41175001']
