filename	label	off0	off1	span	code	semantic_rel	code_wp
es-S0365-66912011000600005-2	SINTOMA	333	361	«manchas» en el campo visual	246658005	EXACT	23388006
es-S0365-66912011000600005-2	SINTOMA	333	361	«manchas» en el campo visual	246658005	EXACT	246915008
es-S0004-06142010000300011-1	SINTOMA	649	716	5HIAA en orina de 24 horas estaba dentro de los parámetros normales	171250001	NARROW	167221003
es-S1130-01082007000700011-2	SINTOMA	1463	1505	A nivel analítico no presentaba alteración	166315009	NARROW	442082004
es-S1130-01082007000700011-2	SINTOMA	1463	1505	A nivel analítico no presentaba alteración	166315009	NARROW	785671009
es-S0210-48062009000300017-1	SINTOMA	2713	2759	a nivel del cardias masa mamelonada y ulcerada	126825008	NARROW	126824007
es-S1130-01082006000100014-1	SINTOMA	2282	2295	abdomen agudo	9209005	EXACT	118948005
es-S0004-06142009000500013-1	SINTOMA	403	417	abdomen blando	249543005	EXACT	300400008
es-S1130-01082008000900015-1	SINTOMA	222	249	abdomen blando y depresible	249543005	EXACT	300400008
es-S1130-01082005001000014-1	SINTOMA	590	629	abdomen blando, depresible, no doloroso	249543005	EXACT	300400008
es-S0212-71992000001200010-1	SINTOMA	721	773	abdomen distendido y doloroso en hipocondrio derecho	60728008+301404009	COMPOSITE	
es-S0210-48062005000300016-2	SINTOMA	932	1007	Abdomen doloroso a la palpación profunda en fosa ilíaca y flanco izquierdos	301411008+1119211005	COMPOSITE	
es-S1130-01082007000700016-1	SINTOMA	570	602	abdomen doloroso de forma difusa	102614006	EXACT	21522001
es-S0212-71992007000600008-1	SINTOMA	820	849	abdomen era blando depresible	249543005	EXACT	300400008
es-S0210-48062005001000013-1	SINTOMA	245	276	abdomen era blando y depresible	249543005	EXACT	300400008
es-S0378-48352006000900006-1	SINTOMA	465	495	abdomen era blando, depresible	249543005	EXACT	300400008
es-S0212-71992006000700009-1	SINTOMA	998	1019	abdomen era globuloso	60728008	EXACT	271676006
es-S0212-71992006000700009-1	SINTOMA	998	1019	abdomen era globuloso	60728008	EXACT	449329002
es-S0212-71992005000700008-1	SINTOMA	966	1022	abdomen es blando y depresible, doloroso de forma difusa	249543005+440220007	COMPOSITE	
es-S0212-71992006000100006-1	SINTOMA	1363	1392	abdomen es blando, depresible	249543005	EXACT	300400008
es-S1130-01082007000600012-1	SINTOMA	686	715	abdomen es blando, depresible	249543005	EXACT	300400008
es-S0004-06142007000900014-1	SINTOMA	487	528	abdomen es globuloso, blando y depresible	60728008+249543005	COMPOSITE	
es-S0210-56912007000900007-6	SINTOMA	396	417	abdomen estaba blando	249543005	EXACT	300400008
es-S1130-01082007001000017-1	SINTOMA	527	574	abdomen estaba distendido y mate a la percusión	60728008+249553006	COMPOSITE	
es-S0210-48062007000500016-1	SINTOMA	829	884	abdomen globuloso, blando y depresible, no peritonítico	60728008+249543005	COMPOSITE	
es-S1130-01082010000300015-1	SINTOMA	343	405	abdomen globuloso, blando, depresible, doloroso a la palpación	60728008+249543005+838411007	COMPOSITE	
es-S0212-16112012000400060-1	SINTOMA	1207	1235	abdomen globuloso, timpánico	60728008+271836003	COMPOSITE	
es-S0212-71992006000200006-1	SINTOMA	2196	2215	abdomen no doloroso	162037008	EXACT	81765008
es-S0210-48062009000900015-1	SINTOMA	886	910	abdomen sin alteraciones	163133003	EXACT	609624008
es-S0004-06142007000700013-1	SINTOMA	659	683	abdomen, globuloso, duro	60728008+249545003	COMPOSITE	
es-S0212-71992006000600007-1	SINTOMA	1488	1522	abolición de los reflejos aquíleos	274818004	EXACT	116315007
es-S0212-71992006000600007-1	SINTOMA	1488	1522	abolición de los reflejos aquíleos	274818004	EXACT	366547001
es-S0212-71992006000600007-1	SINTOMA	1488	1522	abolición de los reflejos aquíleos	274818004	EXACT	37280007
es-S0210-48062009000400016-1	SINTOMA	907	940	abundante orina y heces en pelvis	274732007+17201003	COMPOSITE	
es-S0210-48062009000400016-1	SINTOMA	1241	1287	abundante salida de orina a través del drenaje	366368001	NARROW	366367006
es-S0211-69952012000700031-1	SINTOMA	920	940	abundantes levaduras	769070007	EXACT	365690003
es-S0365-66912005001100008-1	SINTOMA	2571	2580	acantosis	23620008	EXACT	76197007
es-S1130-01082005001100014-1	SINTOMA	341	365	aceptable estado general	135817005	EXACT	404684003
es-S0211-69952014000100016-1	SINTOMA	2580	2615	aceptable función del injerto renal	473195006	EXACT	167179007
es-S0211-69952014000100016-1	SINTOMA	2580	2615	aceptable función del injerto renal	473195006	EXACT	249578005
es-S0211-69952014000100016-1	SINTOMA	2580	2615	aceptable función del injerto renal	473195006	EXACT	609626005
es-S0210-48062005000500016-1	SINTOMA	1995	2003	acidosis	51387008	EXACT	26436007
es-S0212-16112004000400007-1	SINTOMA	1345	1364	acidosis metabólica	59455009	EXACT	51387008
es-S0212-16112012000300028-1	SINTOMA	969	988	acidosis metabólica	59455009	EXACT	51387008
es-S0212-16112012000400060-1	SINTOMA	2101	2120	acidosis metabólica	59455009	EXACT	51387008
es-S0210-56912007000900007-1	SINTOMA	1582	1601	acidosis metabólica	59455009	EXACT	51387008
es-S0212-16112010000600022-1	SINTOMA	1940	1978	acidosis metabólica hiperlactacidémica	91273001	EXACT	51294009
es-S0211-57352011000100008-1	SINTOMA	1476	1484	acinesia	33994004	EXACT	52559000
es-S0210-56912008000100008-4	SINTOMA	1025	1054	acinesia inferobasal y apical	195675009	NARROW	111970001
es-S0210-56912008000100008-4	SINTOMA	1025	1054	acinesia inferobasal y apical	195675009	NARROW	301095005
es-S0465-546X2014000300010-1	SINTOMA	808	814	acolia	70396004	EXACT	225592001
es-S0465-546X2014000300010-1	SINTOMA	808	814	acolia	70396004	EXACT	386617003
es-S0212-71992004000800009-1	SINTOMA	407	418	acropaquias	239055005	EXACT	1899006
es-S0212-71992004000800009-1	SINTOMA	407	418	acropaquias	239055005	EXACT	239001006
es-S0212-71992004000800009-1	SINTOMA	407	418	acropaquias	239055005	EXACT	363070008
es-S0212-71992004000800009-1	SINTOMA	407	418	acropaquias	239055005	EXACT	363185004
es-S0212-71992004000800009-1	SINTOMA	407	418	acropaquias	239055005	EXACT	402775007
es-S0212-71992004000800009-1	SINTOMA	407	418	acropaquias	239055005	EXACT	64596006
es-S0212-16112012000300028-1	SINTOMA	3593	3633	actividad de base rápida de bajo voltaje	251471009	NARROW	251458006
es-S0211-69952015000100013-1	SINTOMA	373	459	actividad de renina plasmática (ARP) y aldosterona plasmática (AP) resultaron elevados	102801008+88213004	COMPOSITE	
es-S0212-71992006000700008-1	SINTOMA	639	678	actividad irritativa temporal izquierda	364874005	NARROW	292003
es-S0212-71992005000400009-1	SINTOMA	2544	2624	actividad osteogénica intensamente aumentada a nivel de la articulación esternal	90256008	NARROW	118953000
es-S0376-78922015000200010-1	SINTOMA	1139	1160	actividad paroxística	15625571000119102	EXACT	116367006
es-S0376-78922015000200010-1	SINTOMA	1139	1160	actividad paroxística	15625571000119102	EXACT	3006004
es-S0212-16112007000600015-1	SINTOMA	2200	2217	actividad uterina	289700000	EXACT	118216002
es-S0212-16112007000600015-1	SINTOMA	2200	2217	actividad uterina	289700000	EXACT	289699001
es-S0212-16112007000600015-1	SINTOMA	2426	2443	actividad uterina	289700000	EXACT	118216002
es-S0212-16112007000600015-1	SINTOMA	2426	2443	actividad uterina	289700000	EXACT	289699001
es-S0210-48062007001000016-1	SINTOMA	590	621	acúfenos de instauración súbita	60862001	NARROW	118230007
es-S0210-48062007001000016-1	SINTOMA	590	621	acúfenos de instauración súbita	60862001	NARROW	247234006
es-S0365-66912004000600008-1	SINTOMA	1090	1122	acúmulo de líquido subrretiniano	247156002	NARROW	399858007
es-S1130-01082008000500016-2	SINTOMA	1022	1116	acúmulo patológico de radiotrazador a dicho nivel, así como en región supraorbitaria izquierda	274535006	NARROW	168501001
es-S0211-69952015000200015-1	SINTOMA	1520	1559	adecuada diferenciación cortico-medular	300441003	NARROW	249578005
es-S0376-78922012000300005-1	SINTOMA	2423	2459	adecuada formación ósea longitudinal	63049000	NARROW	1157172005
es-S0376-78922012000300005-1	SINTOMA	2423	2459	adecuada formación ósea longitudinal	63049000	NARROW	118953000
es-S0210-56912010000400009-1	SINTOMA	1263	1292	adecuado nivel de consciencia	271591004	EXACT	365931003
es-S0210-48062009000200018-1	SINTOMA	851	865	adelgazamiento	262285001	EXACT	89362005
es-S0365-66912011000800006-1	SINTOMA	1666	1717	adelgazamiento corneal sobre la zona de perforación	423459005	EXACT	404684003
es-S0365-66912011000400005-1	SINTOMA	939	962	adelgazamiento estromal	246984001	EXACT	246982002
